-1,IfcSite
-2,IfcBuilding
-3,IfcBuildingStorey
-4-1-VH,IfcSpace
-4-2-BC,IfcSpace
-4-2-EN,IfcSpace
-4-2-FA,IfcSpace
-4-2-IZ,IfcSpace
-4-2-PR,IfcSpace
-4-2-SZ,IfcSpace
-4-3-RU,IfcSpace
-5-1-AV,IfcSystem
-5-1-BR,IfcSystem
-5-1-DA,IfcSystem
-5-1-KY,IfcSystem
-5-1-LU,IfcSystem
-5-1-V�,IfcSystem
-5-2-EL,IfcSystem
-5-2-KA,IfcSystem
-5-2-SP,IfcSystem
-5-2-TE,IfcSystem
-9-1-HO,IfcOpening
-9-2-RE,IfcObject
01.SB,IfcWall
01.SC,IfcWall
01.SF,IfcSlab
01.SG,IfcSlab
01.SG,IfcRoof
01.SH,IfcStairFlight
01.SH,IfcStair
01.SH,IfcSlab
01.SJ,IfcSlab
01.SK,IfcSlab
01.SL,IfcSlab
01.SZ,Varierar
11-CB,Varierar
11-CD,Varierar
12-CE,Varierar
12-CL,Varierar
13.G,Varierar
15.SB,IfcPile
15.SC,IfcFooting
15.SC,IfcColumn
15.SE,IfcFooting
15.SF,IfcFooting
15.SG,IfcSlab
15.SH,IfcFooting
15.SJ,IfcBeam
15.SK,IfcWall
15.SL,IfcSlab
15.ST,IfcFooting
15.SU,Varierar
15.SZ,Varierar
16.BB,IfcObject
16.BC,IfcWall
16.BZ,Varierar
27.B,IfcWall
27.C,IfcWall
27.D,IfcColumn
27.D/51,Varierar
27.E,IfcBeam
27.F,IfcSlab
27.G,IfcSlab
27.HB,IfcStairFlight
27.HB,IfcSlab
27.HB,IfcStair
27.HC,IfcSlab
27.HD,IfcSlab
27.HE,IfcSlab
27.HF,IfcWall
27.Z,Varierar
31.B,Varierar
31.F,Varierar
32-DEG,Varierar
41.C,IfcWall
41.D,IfcWall
41.EB,IfcWindow
41.EC,IfcWindow
41.ED,Varierar
41.EE,Varierar
41.EF,Varierar
41.EG,IfcDoor
41.FB,Varierar
41.FC,Varierar
41.FD,Varierar
41.FE,Varierar
41.FY,Varierar
41.Z,Varierar
42.B,IfcWall
42.C,IfcWall
42.DB,IfcWindow
42.DC,IfcCurtainWall
42.DD,Varierar
42.DE,IfcDoor
42.DF,IfcDoor
43.B,IfcWall
43.CB,IfcWall
43.CCD,IfcCurtainWall
43.CCE,IfcDoor
43.CCF,IfcDoor
43.DB,IfcSlab
43.DC,IfcSlab
43.DD,IfcSlab
43.DE,IfcDoor
43.DF,IfcSlab
43.E,IfcCovering
43.Z,Varierar
44.A,IfCovering
44.B,IfCovering
44.C,IfCovering
44.D,IfCovering
44.Z,IfCovering
45.BB,IfcSlab
45.BC,IfcSlab
45.BD,IfcRoof
45.BD,IfcSlab
45.BE,IfcStair
45.BH,IfcRamp
45.BH,IfcRampFlight
45.BH,IfcSlab
45.CB,IfcStair
45.CB,IfcStairFlight
45.CB,IfcSlab
45.Z,Varierar
46.B-A,IfcFurniture
46.B-B,IfcFurniture
46.C-A,IfcEquipment
46.C-B,IfcEquipment
46.Z,IfcEquipment
52-PN,IfcPipe
52-PN,IfcPipeFitting
52-PPC.3,IfcProvisionForVoid
52-PS,IfcValve
53-PN,IfcPipeFitting
53-PN,IfcPipe
53-PPC.3,IfcProvisionForVoid
53-PR,IfcFlowTerminal
53-PS,IfcValve
54-PA,Varierar
54-PK,IfcPump
54-PK,IfcCompressor
54-PL,IfcTank
54-PN,IfcPipe
54-PN,IfcPipeFitting
54-PPC.3,IfcProvisionForVoid
54-PS,IfcValve
54-PS,IfcFilter
54-PSJ,IfcFireSuppressionTerminal
55-PN,IfcPipe
55-PN,IfcPipeFitting
55-PPC.3,IfcProvisionForVoid
55-PS,IfcValve
56-PN,IfcPipe/IfcPipeFitting
56-PPC.3,IfcProvisionForVoid
57-QE,IfcFan
57-QF,IfcAirToAirHeatRecovery
57-QG,IfcFilter
57-QH,IfcHumidifier
57-QH,IfcUnitaryEquipment
57-QJ,IfcDamper
57-QJ,IfcAirTerminalBox
57-QK,IfcDuctSilencer
57-QL,IfcDuctSegment
57-QL,IfcDuctFitting
57-QM,IfcAirTerminal
57-RB,IfcCovering
57-RE,IfcCovering
6-SBD,IfcCableCarrier
6-SBE,IfcSwitchingDevice
6-SBF,IfcCableCarrier
6-SBG,IfcOutlet
6-SBH,IfcFlowController
6-SBH,IfcJunctionBox
6-SBJ,IfcProvisionForVoid
6-SBK,IfcCableCarrier
6-SBL,IfcObject
6-SBM,IfcJunctionBox
6-SBN,IfcObject
6-SBQ,IfcCableCarrier
6-SC-.7,IfcCable
6-SHD,Varierar
6-SKB,IfcFlowController
6-SKB,IfcJunctionBox
6-SKC,IfcCableCarrier
6-SKF,IfcJunctionBox
53-PN,IfcFlowSegment
55-PN,IfcFlowSegment
54-PN,IfcFlowSegment
56-PN,IfcFlowSegment
6-SBD,IfcFlowSegment
6-SKY,Varierar
6-SMB,IfcOutlet
6-SNB,IfcLightFixture
6-SNC,IfcLightFixture
6-SND,IfcLightFixture
6-SNE,IfcLightFixture
6-SNF,IfcLightFixture
6-SNG,IfcLightFixture
6-SNL,IfcLightFixture
6-SNM,IfcLightFixture
6-SNP,IfcLightFixture
6-SNT,IfcLightFixture
6-TBC,IfcFlowController
66-SC,IfcCable
66-SKB,IfcJunctionBox
